<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>blip</b><br>noun<br>/blɪp/|a change in a process or situation, usually when it gets worse for a short time before it gets better; a temporary problem<br><b style='color:darkcyan;'>Examples:</b><br>- a temporary blip
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>blip</b><br>noun<br>/blɪp/|a short high sound made by an electronic device<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>blip</b><br>noun<br>/blɪp/|a small flashing point of light on a radar screen, representing an object<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>dichotomy</b><br>noun<br>/daɪˈkɑːtəmi/|<b>(dichotomy (between A and B)) </b>a division or contrast between two groups or things that are completely opposite to and different from each other<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>loose</b><br>adjective<br>/luːs/|not securely fixed where it should be; able to become separated from something<br><b style='color:darkcyan;'>Examples:</b><br>- a loose button/tooth<br>- Check that the plug has not come loose.<br>- One of the bricks feels slightly loose.<br>- Darien shook his arm loose. 
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>loose</b><br>adjective<br>/luːs/|not tied together; not held in position by anything or contained in anything<br><b style='color:darkcyan;'>Examples:</b><br>- She usually wears her hair loose.<br>- She tucked a loose strand of hair behind her ear. <br>- The potatoes were sold loose, not in bags.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>loose</b><br>adjective<br>/luːs/|free to move around without control; not tied up or shut in somewhere<br><b style='color:darkcyan;'>Examples:</b><br>- The sheep had got out and were loose on the road.<br>- The horse had broken loose (= escaped) from its tether.<br>- The animals ran loose without collars or leashes. <br>- During the night, somebody had cut the boat loose from its moorings.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;4&nbsp;</span> <b style='color:darkslategray;'>loose</b><br>adjective<br>/luːs/|not fitting closely<br><b style='color:darkcyan;'>Examples:</b><br>- On long flights, wear loose clothing and comfortable shoes.<br>- a loose shirt
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;5&nbsp;</span> <b style='color:darkslategray;'>loose</b><br>adjective<br>/luːs/|not tightly packed together; not solid or hard<br><b style='color:darkcyan;'>Examples:</b><br>- loose soil<br>- a fabric with a loose weave
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;6&nbsp;</span> <b style='color:darkslategray;'>loose</b><br>adjective<br>/luːs/|not strictly organized or managed<br><b style='color:darkcyan;'>Examples:</b><br>- a loose alliance/coalition/federation<br>- a loose association of artists, writers and composers
