<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>supplant</b><br>verb<br>/səˈplænt/|<b>(supplant somebody/something) </b>to take the place of somebody/something (especially somebody/something older or less modern)<br><b style='color:darkcyan;'>Examples:</b><br>- Their work has been largely supplanted by the use of a computer program that fulfils the same function.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>whim</b><br>noun<br>/wɪm/|a sudden wish to do or have something, especially when it is something unusual or unnecessary<br><b style='color:darkcyan;'>Examples:</b><br>- He was forced to pander to her every whim.<br>- the whims of fashion<br>- <b>(on a whim) </b>We bought the house on a whim.<br>- <b>(at the whim of somebody) </b>My duties seem to change daily at the whim of the boss.<br>- <b>(at whim) </b>She hires and fires people at whim.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>siege</b><br>noun<br>/siːdʒ/|a military operation in which an army tries to capture a town by surrounding it and stopping the supply of food, etc. to the people inside<br><b style='color:darkcyan;'>Examples:</b><br>- the siege of Troy<br>- The siege was finally lifted (= ended) after six months.<br>- The police placed the city centre under a virtual state of siege (= it was hard to get in or out).
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>siege</b><br>noun<br>/siːdʒ/|a situation in which the police surround a building where people are living or hiding, in order to make them come out<br><b style='color:darkcyan;'>Examples:</b><br>- The siege was finally brought to an end when the terrorists surrendered.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>siege</b><br>noun<br>/siːdʒ/|to begin a siege of a town, building, etc.<br><b style='color:darkcyan;'>Examples:</b><br>- The crusaders laid siege to Lisbon.<br>- The English forces laid siege to the city of Tournai.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;4&nbsp;</span> <b style='color:darkslategray;'>siege</b><br>noun<br>/siːdʒ/|to surround a building, especially in order to speak to or question the person or people living or working there<br><b style='color:darkcyan;'>Examples:</b><br>- Crowds of journalists laid siege to the star’s apartment.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;5&nbsp;</span> <b style='color:darkslategray;'>siege</b><br>noun<br>/siːdʒ/|surrounded by an army or the police in a siege<br><b style='color:darkcyan;'>Examples:</b><br>- The city was under siege for six months.<br>- At the very end of the war, Prague again came under siege.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;6&nbsp;</span> <b style='color:darkslategray;'>siege</b><br>noun<br>/siːdʒ/|being criticized all the time or put under pressure by problems, questions, etc.<br><b style='color:darkcyan;'>Examples:</b><br>- The government is already under siege for its economic policy.<br>- Under military and economic siege, entire economic sectors have collapsed.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>envy</b><br>noun<br>/ˈenvi/|the feeling of wanting to be in the same situation as somebody else; the feeling of wanting something that somebody else has<br><b style='color:darkcyan;'>Examples:</b><br>- <b>(envy (of somebody)) </b>He couldn't conceal his envy of me.<br>- <b>(envy (at/of something)) </b>She felt a pang of envy at the thought of his success.<br>- They looked with envy at her latest purchase.<br>- Her colleagues were green with envy (= they had very strong feelings of envy).
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>envy</b><br>noun<br>/ˈenvi/|to be a person or thing that other people admire and that causes feelings of envy<br><b style='color:darkcyan;'>Examples:</b><br>- British television is the envy of the world.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>envy</b><br>verb<br>/ˈenvi/|to wish you had the same qualities, possessions, opportunities, etc. as somebody else<br><b style='color:darkcyan;'>Examples:</b><br>- <b>(envy somebody) </b>He envied her—she seemed to have everything she could possibly want.<br>- <b>(envy something) </b>She has always envied my success.<br>- <b>(envy somebody (for) something) </b>I envied him his good looks.<br>- I secretly envied her for her good looks.<br>- <b>(envy somebody doing something) </b>I envy you having such a close family.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>envy</b><br>verb<br>/ˈenvi/|to be glad that you do not have to do what somebody else has to do<br><b style='color:darkcyan;'>Examples:</b><br>- <b>(not envy somebody) </b>It's a difficult situation you're in. I don't envy you.<br>- <b>(not envy somebody something) </b>I don't envy her that job.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>smuggle</b><br>verb<br>/ˈsmʌɡl/|<b>(smuggle something/somebody (+ adv./prep.)) </b>to take, send or bring goods or people secretly and illegally into or out of a country, etc.<br><b style='color:darkcyan;'>Examples:</b><br>- They were caught smuggling diamonds into the country.<br>- He managed to smuggle a gun into the prison.<br>- smuggled drugs<br>- We do not yet know how the bomb was smuggled abroad.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>superfluous</b><br>adjective<br>/suːˈpɜːrfluəs/|unnecessary or more than you need or want<br><b style='color:darkcyan;'>Examples:</b><br>- She gave him a look that made words superfluous.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>ladle</b><br>noun<br>/ˈleɪdl/|a large, deep spoon with a long handle, used especially for serving soup<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>ladle</b><br>verb<br>/ˈleɪdl/|<b>(ladle something (+ adv./prep.)) </b>to place food on a plate with a large spoon or in large quantities<br><b style='color:darkcyan;'>Examples:</b><br>- Ladle the soup into bowls and serve right away.<br>- Grandma ladled out the rice and curry.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>ladle</b><br>verb<br>/ˈleɪdl/|<b>(ladle something + adv./prep.) </b>to give somebody a lot of something, especially money or advice<br><b style='color:darkcyan;'>Examples:</b><br>- The government no longer ladles out subsidies to farmers.<br>- He's always ladling on the charm.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>colander</b><br>noun<br>/ˈkɑːləndər/|a metal or plastic bowl with a lot of small holes in it, used for draining water from vegetables, etc. after washing or cooking<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>kitchenware</b><br>noun<br>/ˈkɪtʃɪnwer/|used in shops to describe objects that you use in a kitchen, such as pans, bowls, etc.<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>scarcity</b><br>noun<br>/ˈskersəti/|if there is a scarcity of something, there is not enough of it and it is difficult to obtain it<br><b style='color:darkcyan;'>Examples:</b><br>- a time of scarcity<br>- a scarcity of resources
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>wardrobe</b><br>noun<br>/ˈwɔːrdrəʊb/|a large cupboard for hanging clothes in, which is either a piece of furniture or (in British English) built into the wall<br><b style='color:darkcyan;'>Examples:</b><br>- a fitted wardrobe
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>wardrobe</b><br>noun<br>/ˈwɔːrdrəʊb/|the clothes that a person has<br><b style='color:darkcyan;'>Examples:</b><br>- We have everything you need for your summer wardrobe.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>wardrobe</b><br>noun<br>/ˈwɔːrdrəʊb/|the department in a theatre or television company that takes care of the clothes that actors wear<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>vent</b><br>noun<br>/vent/|an opening that allows air, gas or liquid to pass out of or into a room, building, container, etc.<br><b style='color:darkcyan;'>Examples:</b><br>- air/heating vents
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>vent</b><br>noun<br>/vent/|the opening in the body of a bird, fish, reptile or other small animal, through which waste matter is passed out<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>vent</b><br>noun<br>/vent/|a long, thin opening at the bottom of the back or side of a coat or jacket<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;4&nbsp;</span> <b style='color:darkslategray;'>vent</b><br>noun<br>/vent/|to express a feeling, especially anger, strongly<br><b style='color:darkcyan;'>Examples:</b><br>- Children give vent to their anger in various ways.<br>- She gave full vent to her feelings in a violent outburst.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>vent</b><br>verb<br>/vent/|to express feelings, especially anger, strongly<br><b style='color:darkcyan;'>Examples:</b><br>- <b>(vent something (on somebody)) </b>He vented his anger on the referee.<br>- She vented her spleen (= shouted in an angry way) on the assembled crowd.<br>- <b>(vent (about something)) </b>She vented for two minutes about work and her boss.<br>- She talked with me whenever I needed to vent.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>posh</b><br>adjective<br>/pɑːʃ/|attractive and expensive<br><b style='color:darkcyan;'>Examples:</b><br>- a posh hotel<br>- You look very posh in your new suit.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>posh</b><br>adjective<br>/pɑːʃ/|typical of or used by people who belong to a high social class<br><b style='color:darkcyan;'>Examples:</b><br>- a posh accent/voice<br>- They live in the posh part of town.<br>- They pay for their children to go to a posh school.<br>- They think they’re so important with their designer clothes and posh accents.<br>- Her parents are very posh.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>posh</b><br>adverb<br>/pɑːʃ/|in a way that is typical of or used by people who belong to a high social class<br><b style='color:darkcyan;'>Examples:</b><br>- to talk posh
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>decidedly</b><br>adverb<br>/dɪˈsaɪdɪdli/|definitely and in an obvious way<br><b style='color:darkcyan;'>Examples:</b><br>- Amy was looking decidedly worried.<br>- Their relationship is beginning to look decidedly shaky.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>decidedly</b><br>adverb<br>/dɪˈsaɪdɪdli/|in a way that shows that you are sure and determined about something<br><b style='color:darkcyan;'>Examples:</b><br>- ‘I won't go,’ she said decidedly.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>innovation</b><br>noun<br>/ˌɪnəˈveɪʃn/|the introduction of new things, ideas or ways of doing something<br><b style='color:darkcyan;'>Examples:</b><br>- an age of technological innovation<br>- The company is very interested in product design and innovation.<br>- Too strict a regulatory system will stifle innovation.<br>- <b>(innovation in something) </b>innovation in engineering
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>innovation</b><br>noun<br>/ˌɪnəˈveɪʃn/|a new idea, way of doing something, etc. that has been introduced or discovered<br><b style='color:darkcyan;'>Examples:</b><br>- technological innovations designed to save energy<br>- <b>(innovation in something) </b>recent innovations in steel-making technology
