<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>distraught</b><br>adjective<br>/dɪˈstrɔːt/|extremely upset and anxious so that you cannot think clearly<br><b style='color:darkcyan;'>Examples:</b><br>- She’s still too distraught to speak about the tragedy.<br>- The child’s distraught parents pleaded for witnesses to contact the police.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>triumphalist</b><br>adjective<br>/traɪˈʌmfəlɪst/|celebrating a victory or success in a way that is too proud and is intended to upset the people you have defeated<br><b style='color:darkcyan;'>Examples:</b><br>- He warned that a triumphalist parade would be insensitive to the local people. 
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>suffragist</b><br>noun<br>/ˈsʌfrədʒɪst/|a person who campaigns for a group of people who do not have the right to vote in elections, in order to get this right for them<br><b style='color:darkcyan;'>Examples:</b><br>- She was a committed socialist, suffragist and feminist.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>abolitionist</b><br>noun<br>/ˌæbəˈlɪʃənɪst/|a person who is in favour of the abolition of something, especially capital punishment (= punishment by death) or (in the past) slavery<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>hail</b><br>verb<br>/heɪl/|to describe somebody/something as being very good or special, especially in newspapers, etc.<br><b style='color:darkcyan;'>Examples:</b><br>- <b>(be hailed (as) something) </b>The conference was hailed as a great success.<br>- The expedition was widely hailed as a success.<br>- Teenager Matt Brown is being hailed a hero for saving a young child from drowning.<br>- <b>(hail somebody/something as something) </b>Union leaders hailed the socialists’ victory as a huge step forward.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>hail</b><br>verb<br>/heɪl/|<b>(hail something) </b>to signal to a taxi or a bus, in order to get the driver to stop<br><b style='color:darkcyan;'>Examples:</b><br>- to hail a taxi/cab
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>hail</b><br>verb<br>/heɪl/|<b>(hail somebody) </b>to call to somebody in order to say hello to them or attract their attention<br><b style='color:darkcyan;'>Examples:</b><br>- A voice hailed us from the other side of the street.<br>- We soon came within hailing distance of (= fairly close to) the others.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;4&nbsp;</span> <b style='color:darkslategray;'>hail</b><br>verb<br>/heɪl/|when it hails, small balls of ice fall like rain from the sky<br><b style='color:darkcyan;'>Examples:</b><br>- It's hailing!
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>hail</b><br>noun<br>/heɪl/|small balls of ice that fall like rain<br><b style='color:darkcyan;'>Examples:</b><br>- We drove through hail and snow.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>hail</b><br>noun<br>/heɪl/|<b>(a hail of something) </b>a large number or amount of something that is aimed at somebody in order to harm them<br><b style='color:darkcyan;'>Examples:</b><br>- a hail of arrows/bullets<br>- a hail of abuse
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>anoint</b><br>verb<br>/əˈnɔɪnt/|<b>(anoint somebody/something (with something)) </b>to put oil or water on somebody’s head or body as part of a religious ceremony<br><b style='color:darkcyan;'>Examples:</b><br>- The priest anointed her with oil.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>caucus</b><br>noun<br>/ˈkɔːkəs/|a meeting of the members or leaders of a political party to choose candidates or to decide policy; the members or leaders of a political party as a group<br><b style='color:darkcyan;'>Examples:</b><br>- 20 states will hold precinct caucuses on Tuesday to choose delegates to the parties’ national conventions.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>caucus</b><br>noun<br>/ˈkɔːkəs/|a group of people with similar interests, often within a larger organization or political party<br><b style='color:darkcyan;'>Examples:</b><br>- the Congressional Black Caucus
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>caucus</b><br>verb<br>/ˈkɔːkəs/|to meet in a caucus or other group to discuss something<br><b style='color:darkcyan;'>Examples:</b><br>- The senators decided to caucus about the policy change.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>tumbleweed</b><br>noun<br>/ˈtʌmblwiːd/|a plant that grows like a bush in the desert areas of North America and Australia. In the autumn, it breaks off just above the ground and is blown around like a ball by the wind.<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>saloon</b><br>noun<br>/səˈluːn/|a car with a boot (= space at the back for carrying things) that is separated from the part where the driver and passengers sit<br><b style='color:darkcyan;'>Examples:</b><br>- a five-seater family saloon<br>- a four-door saloon
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>saloon</b><br>noun<br>/səˈluːn/|a bar in a pub, hotel, etc. that is more comfortable than the other bars and where the drinks are usually more expensive<br><b style='color:darkcyan;'>Examples:</b><br>- NO_EXAMPLES
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>saloon</b><br>noun<br>/səˈluːn/|a bar where alcoholic drinks were sold in the western US and Canada in the past<br><b style='color:darkcyan;'>Examples:</b><br>- The cowboy died in a fight in a saloon.<br>- There were sawdust-on-the-floor Western saloons with gunfights and poker games.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;4&nbsp;</span> <b style='color:darkslategray;'>saloon</b><br>noun<br>/səˈluːn/|a large comfortable room on a ship, used by the passengers to sit and relax in<br><b style='color:darkcyan;'>Examples:</b><br>- The saloon on deck B has room for 140 passengers.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>behemoth</b><br>noun<br>/bɪˈhiːməθ/|something that is very big and powerful, especially a company or organization<br><b style='color:darkcyan;'>Examples:</b><br>- a multinational corporate behemoth<br>- She works in a seventy-storey behemoth in Manhattan.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>temperament</b><br>noun<br>/ˈtemprəmənt/|a person’s or an animal’s nature as shown in the way they behave or react to situations or people<br><b style='color:darkcyan;'>Examples:</b><br>- to have an artistic temperament<br>- a horse with an excellent temperament<br>- She's a dreamer and a romantic by temperament.<br>- To become a champion, you have to have the right temperament.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>temperament</b><br>noun<br>/ˈtemprəmənt/|the fact of tending to get emotional and excited very easily and behave in an unreasonable way<br><b style='color:darkcyan;'>Examples:</b><br>- an actor given to displays of temperament
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;1&nbsp;</span> <b style='color:darkslategray;'>channel</b><br>noun<br>/ˈtʃænl/|a television station<br><b style='color:darkcyan;'>Examples:</b><br>- a television/TV channel<br>- cable/digital/satellite channels<br>- a news channel<br>- a music/sports/movie channel<br>- to change/switch channels <br>- <b>(on a channel) </b>What's on Channel 4 tonight?
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;2&nbsp;</span> <b style='color:darkslategray;'>channel</b><br>noun<br>/ˈtʃænl/|a band of radio waves used for making television or radio broadcasts<br><b style='color:darkcyan;'>Examples:</b><br>- radio channels<br>- terrestrial/satellite channels
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;3&nbsp;</span> <b style='color:darkslategray;'>channel</b><br>noun<br>/ˈtʃænl/|a method or system that people use to get information, to communicate, or to send something somewhere<br><b style='color:darkcyan;'>Examples:</b><br>- Complaints must be made through the proper channels.<br>- The newsletter is a useful channel of communication between teacher and students.<br>- The company has worldwide distribution channels.<br>- Steps are being taken to implement a ceasefire through diplomatic channels.
<span style='color:cornsilk; background-color:darkcyan; border-radius:5px;'>&nbsp;4&nbsp;</span> <b style='color:darkslategray;'>channel</b><br>noun<br>/ˈtʃænl/|a means by which data is communicated and exchanged between elements of a computer system or other system<br><b style='color:darkcyan;'>Examples:</b><br>- an audio channel
